resid,z_min,z_max,z_thickness
63,45.20000076293945,57.220001220703125,12.020000457763672
64,42.27000427246094,56.86000061035156,14.589996337890625
65,40.65999984741211,55.209999084472656,14.549999237060547
66,38.80000305175781,53.53000259399414,14.729999542236328
67,38.849998474121094,53.94000244140625,15.090003967285156
68,31.059999465942383,46.630001068115234,15.570001602172852
69,48.96999740600586,53.3900032043457,4.420005798339844
70,39.9900016784668,49.869998931884766,9.879997253417969
71,43.839996337890625,54.349998474121094,10.510002136230469
72,41.53999710083008,56.77000045776367,15.230003356933594
73,42.220001220703125,53.29999923706055,11.079998016357422
74,36.04999923706055,52.099998474121094,16.049999237060547
75,43.60000228881836,53.94000244140625,10.34000015258789
76,39.970001220703125,55.07999801635742,15.109996795654297
77,32.970001220703125,49.9900016784668,17.020000457763672
78,46.380001068115234,54.09000015258789,7.709999084472656
79,36.25,49.54999923706055,13.299999237060547
80,36.45000076293945,52.21000289916992,15.760002136230469
81,41.090003967285156,50.19000244140625,9.099998474121094
82,47.220001220703125,55.84000015258789,8.619998931884766
83,40.38999938964844,56.76000213623047,16.37000274658203
84,38.93000030517578,52.519996643066406,13.589996337890625
85,41.91999816894531,53.63999938964844,11.720001220703125
86,35.75,51.06999969482422,15.319999694824219
87,36.59000015258789,49.220001220703125,12.630001068115234
88,41.51000213623047,53.67000198364258,12.15999984741211
89,42.68000030517578,51.93000030517578,9.25
90,38.58000183105469,49.910003662109375,11.330001831054688
91,35.05000305175781,48.18000030517578,13.129997253417969
92,42.32999801635742,53.69999694824219,11.369998931884766
93,47.01000213623047,54.27000045776367,7.259998321533203
94,41.959999084472656,54.45000076293945,12.490001678466797
95,43.7400016784668,56.160003662109375,12.420001983642578
96,38.82999801635742,52.60000228881836,13.770004272460938
97,46.36000061035156,62.29999923706055,15.939998626708984
98,40.599998474121094,51.75,11.150001525878906
99,40.40999984741211,52.37999725341797,11.96999740600586
100,43.909996032714844,52.32999801635742,8.420001983642578
101,34.470001220703125,50.12000274658203,15.650001525878906
144,25.51000213623047,36.790000915527344,11.279998779296875
145,21.8700008392334,33.13999938964844,11.269998550415039
146,25.48000144958496,39.68000030517578,14.19999885559082
147,20.1200008392334,28.40999984741211,8.289999008178711
148,17.729999542236328,25.260000228881836,7.530000686645508
149,23.15999984741211,39.27000045776367,16.110000610351562
150,21.610000610351562,31.76000213623047,10.150001525878906
151,20.10999870300293,23.979999542236328,3.8700008392333984
152,17.829999923706055,33.20000076293945,15.370000839233398
153,22.700000762939453,37.63999938964844,14.939998626708984
154,22.0,33.32999801635742,11.329998016357422
155,19.96000099182129,33.08000183105469,13.120000839233398
156,17.860000610351562,34.84000015258789,16.979999542236328
157,25.360000610351562,37.47999954223633,12.119998931884766
158,17.690000534057617,30.73999786376953,13.049997329711914
159,20.270000457763672,34.73999786376953,14.46999740600586
160,22.15999984741211,38.01000213623047,15.85000228881836
161,22.170000076293945,34.779998779296875,12.60999870300293
162,22.690000534057617,35.540000915527344,12.850000381469727
163,20.270000457763672,35.43000030517578,15.15999984741211
164,18.30000114440918,35.11000061035156,16.809999465942383
165,17.81999969482422,33.67000198364258,15.85000228881836
166,12.790000915527344,24.809999465942383,12.019998550415039
167,20.690000534057617,31.93000030517578,11.239999771118164
168,14.809999465942383,24.530000686645508,9.720001220703125
169,15.329999923706055,29.979999542236328,14.649999618530273
170,23.029998779296875,38.060001373291016,15.03000259399414
171,17.110000610351562,30.75,13.639999389648438
172,20.850000381469727,36.650001525878906,15.80000114440918
173,17.809999465942383,33.45000076293945,15.64000129699707
174,20.1200008392334,29.239999771118164,9.119998931884766
175,22.170000076293945,27.98000144958496,5.810001373291016
